@urbanskudnik,"Zemanta, GSOC"
@gandalfar,"Zemanta, Flowr, Mativy, Viidea"
@orkaa,"Zemanta, Viidea, PrintBox, Celtra"
@kumpri,"Uniki"
@mijalorbek,"Uniki"
@friedcell,"Parsek, Zemanta, CubeSensors"
@jernejv,"Fora, Viidea, Iddiction"
@ielectric,"Niteoweb, GSOC"
@urhlednik, "CosyLab, iSYSTEM AG, Vigred"
ces,"Marand, Vox.io, Layer"
avian,"Zemanta, Institut Jožef Stefan"
hook,"FSFE"
anze
bojlertm
bpovirk,"ProPlus, eBlagajna"
ivan
janes
markos
medy,"Center for E-democracy, INePA, Studio12"
neny
sara_i
slashrsm,"GSOC, Delo"
trillian
kusar
marusa
miha
martinu
tanja
mija
Leilah
klemen
ladyzeza
mihar
rok
sara
delta
zilla
retro
jost
janah
katarina
damir
jordanco
kumpri
mavricek
lancer
nejc
korbs
petra
pete
r0k
bizal
jvolk
mulaz,"FE"
igzebedze,"Zemanta"
sahel
brodul,"GSOC"
fenikz
skatey
maqmigh
maja.smrekar
janin
5ra
janz
alojzij
n0sered
natan
gapaspeper
blaz
SleepyFE
brodulj
crt
harejv
igorm
iris
janja
mitja
rd666-test
sparrow
surya
uros
stella
nietka
maticpelcl
andrej
krista
offlinehacker
lowkey
puffs
katja
teardrop
matejc,"Niteoweb, GSOC"
easy
domen555
kozuh
tea
minmax,"Zemanta"
hruske
syslq
tomaz
urban
peklayos
redduck666
hana
jinzo
zealot
dasa
neonstar
rokp,"Zemanta"
daedalus
Ryuk
benko
ana
KatarinaK
slitkx
alesv
meta
novadeviator
maja
garbas
asodja
fire_fly
heidi
Jesus
markslo
levstk
Nimatel
donna
peter
teatang
marx
ike
andrejpan
goba
tamara
ivana
simona
kiki
GregorSamsa
jleben
legice
oskar
zala
eek
senicar
tt
